Swing Fault,Drill Category,Example Drill
Poor Face Control,Clubface Awareness Drills,Face Angle Stick Drill
Poor Face Control,Clubface Awareness Drills,Anti-Roll Wedge Drill
Poor Face Control,Clubface Awareness Drills,Door Knob Drill
Poor Face Control,Clubface Awareness Drills,Grip Pressure Clock Drill
Fat / Thin Strikes,Low Point Control Drills,Towel Behind Ball Drill
Fat / Thin Strikes,Low Point Control Drills,Line in Sand Drill
Fat / Thin Strikes,Low Point Control Drills,Coin Strike Drill
Fat / Thin Strikes,Low Point Control Drills,Low Point Stick Drill
Fat / Thin Strikes,Low Point Control Drills,Divot Board Feedback
Fat / Thin Strikes,Low Point Control Drills,Impact Tape Verification
Fat / Thin Strikes,Low Point Control Drills,Brush the Grass Drill
Fat / Thin Strikes,Low Point Control Drills,Move Circle Forward Drill
Slice,Face-to-Path & Release Drills,Strong Grip Change Drill
Slice,Face-to-Path & Release Drills,Hover & Curl Drill
Slice,Face-to-Path & Release Drills,Baseball Release Drill
Slice,Face-to-Path & Release Drills,Close Clubface Early Drill
Slice,Face-to-Path & Release Drills,Swing Under Stick Drill
Slice,Face-to-Path & Release Drills,Roll the Toe Over Drill
Slice,Face-to-Path & Release Drills,Toe Up to Toe Over Drill
Slice,Face-to-Path & Release Drills,Water Bottle Release Drill
Hook,Neutral Face & Path Drills,Weak Grip Check
Hook,Neutral Face & Path Drills,Hold Off Finish Drill
Hook,Neutral Face & Path Drills,Pump Cut Drill
Hook,Neutral Face & Path Drills,Stinger Low Finish Drill
Hook,Neutral Face & Path Drills,Lead Wrist Extension Backswing
Hook,Neutral Face & Path Drills,Cut Across Ball Drill
Hook,Neutral Face & Path Drills,Open Clubface Alignment Drill
Hook,Neutral Face & Path Drills,Forearm Fly-Off Slow
Poor Tempo / Rhythm,Tempo & Sequencing Drills,Tour Tempo Metronome Drill
Poor Tempo / Rhythm,Tempo & Sequencing Drills,1-2-3 Count Drill
Poor Tempo / Rhythm,Tempo & Sequencing Drills,9 to 3 Half Swings
Poor Tempo / Rhythm,Tempo & Sequencing Drills,Eyes Closed Swing Drill
Poor Tempo / Rhythm,Tempo & Sequencing Drills,Feet Together Tempo Drill
Poor Tempo / Rhythm,Tempo & Sequencing Drills,Step Swing Rhythm
Poor Tempo / Rhythm,Tempo & Sequencing Drills,Slow Motion Full Swing
Poor Tempo / Rhythm,Tempo & Sequencing Drills,Pause at Top Drill
Short Game - Chipping,Chipping Technique Drills,Coin Chip Drill
Short Game - Chipping,Chipping Technique Drills,One-Handed Chip
Short Game - Chipping,Chipping Technique Drills,Feet Together Chip
Short Game - Chipping,Chipping Technique Drills,Trail Hand Release Chip
Short Game - Chipping,Chipping Technique Drills,Towel Under Arms Chip
Short Game - Chipping,Chipping Technique Drills,Landing Spot Chip
Short Game - Chipping,Chipping Technique Drills,Hinge and Hold Chip
Short Game - Chipping,Chipping Technique Drills,Bump and Run Gate Drill
Short Game - Pitching,Pitching Distance Control Drills,Clock Face Pitch
Short Game - Pitching,Pitching Distance Control Drills,Ladder Pitch Drill
Short Game - Pitching,Pitching Distance Control Drills,Three Wedge System Drill
Short Game - Pitching,Pitching Distance Control Drills,Back Foot Open Pitch
Short Game - Pitching,Pitching Distance Control Drills,Lead Wrist Firm Pitch
Short Game - Pitching,Pitching Distance Control Drills,One-Hop Stop Drill
Short Game - Pitching,Pitching Distance Control Drills,Toe Down Pitch
Short Game - Pitching,Pitching Distance Control Drills,Shaft Vertical Pitch
Bunker Play,Sand Contact & Explosion Drills,Line in Sand Splash
Bunker Play,Sand Contact & Explosion Drills,Aim Point Dollar Bill Drill
Bunker Play,Sand Contact & Explosion Drills,One Foot In Bunker Drill
Bunker Play,Sand Contact & Explosion Drills,No Club Sand Splash
Bunker Play,Sand Contact & Explosion Drills,Lead Hand Only Bunker
Bunker Play,Sand Contact & Explosion Drills,Heavy Sand Explode Drill
Bunker Play,Sand Contact & Explosion Drills,Shaft Lean Bunker Drill
Bunker Play,Sand Contact & Explosion Drills,Open Face Wide Stance Splash
Putting - Distance Control,Putting Tempo & Stroke Drills,Meter Stick Drill
Putting - Distance Control,Putting Tempo & Stroke Drills,Clock Face Lag Drill
Putting - Distance Control,Putting Tempo & Stroke Drills,Eyes Closed Lag
Putting - Distance Control,Putting Tempo & Stroke Drills,Fringe to Hole Ladder
Putting - Distance Control,Putting Tempo & Stroke Drills,3-6-9 Drill
Putting - Distance Control,Putting Tempo & Stroke Drills,Leap Frog Drill
Putting - Distance Control,Putting Tempo & Stroke Drills,Pace Putt Drill
Putting - Distance Control,Putting Tempo & Stroke Drills,Right-Hand Low Tempo Drill
Putting - Start Line,Putting Face Control Drills,Gate Drill Putting
Putting - Start Line,Putting Face Control Drills,Chalk Line Drill
Putting - Start Line,Putting Face Control Drills,Coin Gate Drill
Putting - Start Line,Putting Face Control Drills,Laser Start Line Drill
Putting - Start Line,Putting Face Control Drills,Mirror Gate Drill
Putting - Start Line,Putting Face Control Drills,Two Tee Narrow Gate
Putting - Start Line,Putting Face Control Drills,Path Rail Drill
Putting - Start Line,Putting Face Control Drills,String Over Ball Drill
Putting - Green Reading,Reading & Visualization Drills,AimPoint Feet Feel
Putting - Green Reading,Reading & Visualization Drills,Around the Clock Drill
Putting - Green Reading,Reading & Visualization Drills,Low Side Walk Drill
Putting - Green Reading,Reading & Visualization Drills,Break Capture Drill
Putting - Green Reading,Reading & Visualization Drills,Putt from Miss Spot
Putting - Green Reading,Reading & Visualization Drills,Circle the Hole Drill
Putting - Green Reading,Reading & Visualization Drills,Plumb Bob Practice
Putting - Green Reading,Reading & Visualization Drills,Line on Ball Alignment
Alignment Issues,Alignment & Setup Drills,Railroad Track Alignment Drill
Alignment Issues,Alignment & Setup Drills,Mirror Alignment Stick Drill
Alignment Issues,Alignment & Setup Drills,String Line Alignment
Alignment Issues,Alignment & Setup Drills,Club Down Feet Drill
Grip Issues,Grip Pressure & Position Drills,Thumbs Off Grip Drill
Grip Issues,Grip Pressure & Position Drills,Trail Hand Release Check
Grip Issues,Grip Pressure & Position Drills,Lead Hand Only Swings
Grip Issues,Grip Pressure & Position Drills,Grip Change Shadow Swings
Balance Issues,Stability & Core Control Drills,Feet Together Swings
Balance Issues,Stability & Core Control Drills,Single Leg Swing Drill
Balance Issues,Stability & Core Control Drills,Balance Pad Swings
Balance Issues,Stability & Core Control Drills,Foam Roller Under Feet Drill
Mental Focus,Pre-Shot Routine Drills,Three Breath Focus
Mental Focus,Pre-Shot Routine Drills,Visualize Shot Routine
Mental Focus,Pre-Shot Routine Drills,Target Line Pick Drill
Mental Focus,Pre-Shot Routine Drills,Commitment Line Drill
Flexibility / Mobility,Warm-Up & Mobility Drills,Torso Turn with Club Behind Back
Flexibility / Mobility,Warm-Up & Mobility Drills,Hip 90/90 Rotations
Flexibility / Mobility,Warm-Up & Mobility Drills,Cat Cow Spinal Warmup
Flexibility / Mobility,Warm-Up & Mobility Drills,Lunge with Rotation
Clubhead Speed,Speed & Power Drills,SuperSpeed Stick Swings
Clubhead Speed,Speed & Power Drills,Step Jump Swing
Clubhead Speed,Speed & Power Drills,Medicine Ball Rotational Throw
Clubhead Speed,Speed & Power Drills,Whoosh Speed Drill
Fairway Wood Sweeping,Sweeping Contact Drills,Tee Behind Ball Sweep Drill
Fairway Wood Sweeping,Sweeping Contact Drills,Low Point Brush Drill
Fairway Wood Sweeping,Sweeping Contact Drills,Ascending Strike Divot Board
Fairway Wood Sweeping,Sweeping Contact Drills,Hover Drill
Hybrid Hitting,Hybrid Strike Drills,Ball-Fwd Brush Drill
Hybrid Hitting,Hybrid Strike Drills,Half Tee Hybrid Drill
Hybrid Hitting,Hybrid Strike Drills,Hybrid Punch Shot
Hybrid Hitting,Hybrid Strike Drills,Weight Left Hybrid Strike
Driver Launch,Driver Launch Window Drills,High Tee Low Tee Drill
Driver Launch,Driver Launch Window Drills,Tee Height Experiment
Driver Launch,Driver Launch Window Drills,Positive AoA Tee Forward
Driver Launch,Driver Launch Window Drills,Lead Shoulder Up Drill
Wedge Spin,Wedge Spin Creation Drills,Clean Grooves Spin Drill
Wedge Spin,Wedge Spin Creation Drills,Bounce vs. Leading Edge Drill
Wedge Spin,Wedge Spin Creation Drills,Open Face Accelerate Drill
Wedge Spin,Wedge Spin Creation Drills,Stiff Wrist Nipper
Flop Shot,High Loft Bunker & Flop Drills,Open Stance Slide Under Drill
Flop Shot,High Loft Bunker & Flop Drills,Umbrella Under Arms Drill
Flop Shot,High Loft Bunker & Flop Drills,Skid and Slide Drill
Flop Shot,High Loft Bunker & Flop Drills,Face Open Swing Across
Lag Putting,Long Putt Distance Drills,Fringe to Fringe Lag Drill
Lag Putting,Long Putt Distance Drills,Eyes Closed Distance Feel
Lag Putting,Long Putt Distance Drills,Flagstick Putts
Lag Putting,Long Putt Distance Drills,Alternate Ball Lag
Distance Wedges,Wedge Distance Control Drills,Clock Face Wedge 9 to 3
Distance Wedges,Wedge Distance Control Drills,Quarter Swing Chart
Distance Wedges,Wedge Distance Control Drills,Pitch Matrix Drill
Distance Wedges,Wedge Distance Control Drills,Ladder Wedge Targets
